 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    7.5768    4.0000   23.5897   12.5058    5.3481    3.1719    3.5144    8.4235  1.0382E+00     -0.2625  2.1648E-06
    7.5823    4.0000   23.5897   12.3808    5.3488    3.1734    3.5138    8.4369  9.6367E-01     -0.2625  1.6207E-06
    7.5877    4.0000   23.5897   12.2570    5.3495    3.1748    3.5132    8.4501  8.9219E-01     -0.2625  1.1970E-06
    7.5930    4.0000   23.5897   12.1344    5.3501    3.1762    3.5127    8.4631  8.2376E-01     -0.2625  8.7092E-07
    7.5983    4.0000   23.5897   12.0130    5.3508    3.1775    3.5122    8.4759  7.5837E-01     -0.2625  6.2318E-07
    7.6035    4.0000   23.5897   11.8929    5.3514    3.1788    3.5117    8.4886  6.9599E-01     -0.2625  4.3769E-07
    7.6086    4.0000   23.5897   11.7740    5.3521    3.1801    3.5113    8.5011  6.3659E-01     -0.2625  3.0105E-07
    7.6137    4.0000   23.5897   11.6562    5.3527    3.1812    3.5108    8.5135  5.8014E-01     -0.2625  2.0223E-07
    7.6187    4.0000   23.5897   11.5397    5.3533    3.1824    3.5104    8.5257  5.2662E-01     -0.2625  1.3226E-07
    7.6237    4.0000   23.5897   11.4243    5.3539    3.1834    3.5100    8.5378  4.7599E-01     -0.2625  8.3879E-08
    7.6285    4.0000   23.5897   11.3100    5.3545    3.1844    3.5097    8.5497  4.2822E-01     -0.2625  5.1344E-08
    7.6334    4.0000   23.5897   11.1969    5.3551    3.1853    3.5094    8.5615  3.8328E-01     -0.2625  3.0156E-08
    7.6381    4.0000   23.5897   11.0850    5.3557    3.1862    3.5091    8.5731  3.4114E-01     -0.2625  1.6869E-08
    7.6429    4.0000   23.5897   10.9741    5.3563    3.1869    3.5089    8.5846  3.0176E-01     -0.2625  8.9025E-09
    7.6475    4.0000   23.5897   10.8644    5.3569    3.1876    3.5087    8.5960  2.6510E-01     -0.2625  4.3768E-09
    7.6521    4.0000   23.5897   10.7557    5.3575    3.1882    3.5086    8.6072  2.3113E-01     -0.2625  1.9706E-09
    7.6567    4.0000   23.5897   10.6482    5.3580    3.1886    3.5085    8.6183  1.9979E-01     -0.2625  7.9296E-10
    7.6612    4.0000   23.5897   10.5417    5.3586    3.1889    3.5085    8.6293  1.7104E-01     -0.2625  2.7495E-10
    7.6656    4.0000   23.5897   10.4363    5.3591    3.1891    3.5085    8.6402  1.4484E-01     -0.2625  7.7373E-11
    7.6701    4.0000   23.5897   10.3319    5.3597    3.1891    3.5086    8.6510  1.2112E-01     -0.2625  1.5784E-11
    7.6744    4.0000   23.5897   10.2286    5.3602    3.1890    3.5088    8.6616  9.9832E-02     -0.2625  1.7566E-12
    7.6788    4.0000   23.5897   10.1263    5.3608    3.1886    3.5091    8.6722  8.0903E-02     -0.2625  6.9681E-16
    7.6830    4.0000   23.5897   10.0251    5.3613    3.1881    3.5096    8.6826  6.4264E-02     -0.2625  7.9820E-16
    7.6873    4.0000   23.5897    9.9248    5.3618    3.1872    3.5101    8.6930  4.9835E-02     -0.2625  9.2558E-16
    7.6915    4.0000   23.5897    9.8256    5.3624    3.1861    3.5108    8.7033  3.7528E-02     -0.2625  1.0887E-15
    7.6957    4.0000   23.5897    9.7273    5.3629    3.1845    3.5117    8.7135  2.7241E-02     -0.2625  1.3022E-15
    7.6998    4.0000   23.5897    9.6300    5.3634    3.1825    3.5129    8.7236  1.8863E-02     -0.2625  1.5891E-15
    7.7040    4.0000   23.5897    9.5337    5.3639    3.1798    3.5143    8.7337  1.2265E-02     -0.2625  1.9873E-15
    7.7081    4.0000   23.5897    9.4384    5.3644    3.1764    3.5162    8.7437  7.3014E-03     -0.2625  2.5618E-15
    7.7122    4.0000   23.5897    9.3440    5.3649    3.1718    3.5186    8.7537  3.8043E-03     -0.2625  3.4332E-15
    7.7163    4.0000   23.5897    9.2506    5.3654    3.1654    3.5219    8.7637  1.5809E-03     -0.2625  4.8435E-15
    7.7203    4.0000   23.5897    9.1581    5.3659    3.1557    3.5269    8.7736  4.0972E-04     -0.2625  7.3358E-15
    7.7245    4.0000   23.5897    9.0665    5.3664    3.1380    3.5359    8.7837  2.2312E-05     -0.2625  1.2276E-14
    7.7287    4.0000   23.5897    8.9758    5.3669    3.0885    3.5607    8.7940  1.0000E-10     -0.2625  2.4616E-14
    7.7333    4.0000   23.5897    8.8861    5.3666    2.6569    3.7765    8.8052  1.0000E-10     -0.2625  3.6216E-13
    7.7344    4.0000   23.5897    8.8733    5.3660    2.3478    3.9309    8.8080  1.0000E-10     -0.2625  1.6808E-12
    7.7351    4.0000   23.5897    8.8665    5.3652    2.0878    4.0607    8.8095  1.0000E-10     -0.2625  5.5309E-12
    7.7355    4.0000   23.5897    8.8614    5.3643    1.8356    4.1865    8.8106  1.0000E-10     -0.2625  1.5067E-11
    7.7359    4.0000   23.5897    8.8571    5.3630    1.5868    4.3106    8.8116  1.0000E-10     -0.2625  3.1090E-11
    7.7362    4.0000   23.5897    8.8534    5.3613    1.3401    4.4335    8.8124  1.0000E-10     -0.2625  4.6787E-11
    7.7365    4.0000   23.5897    8.8500    5.3590    1.0956    4.5552    8.8132  1.0000E-10     -0.2625  5.6356E-11
